update_date,中信期货  ,五矿经易  ,国泰君安  ,永安期货  ,海通期货  ,迈科期货  ,银河期货  
2016-12-15,20268.0,11486.0,13791.0,17196.0,16568.0,15316.0,11598.0
2016-12-16,20422.0,11595.0,14285.0,17292.0,16966.0,15081.0,12298.0
2016-12-19,16559.0,12116.0,15119.0,20248.0,14186.0,16111.0,13448.0
2016-12-20,16374.0,11856.0,15592.0,20823.0,14226.0,15712.0,13576.0
2016-12-21,17338.0,11676.0,15604.0,21297.0,13907.0,15339.0,13529.0
2016-12-22,18865.0,11280.0,15697.0,20874.0,15045.0,15763.0,13021.0
2016-12-23,18227.0,11379.0,14995.0,21310.0,15765.0,16434.0,13128.0
2016-12-26,17245.0,11575.0,13842.0,22274.0,14477.0,16807.0,13849.0
2016-12-27,17441.0,11164.0,13614.0,23187.0,14860.0,16045.0,13546.0
2016-12-28,17659.0,11219.0,14353.0,22812.0,15317.0,16103.0,14553.0
2016-12-29,16687.0,11492.0,15015.0,23695.0,15229.0,16355.0,15451.0
2016-12-30,15364.0,11206.0,14578.0,23753.0,15667.0,16127.0,14194.0
2017-01-03,15484.0,11556.0,14983.0,22981.0,14814.0,16434.0,14722.0
2017-01-04,15236.0,11624.0,14551.0,23247.0,14928.0,16443.0,15325.0
2017-01-05,16217.0,11504.0,14903.0,22334.0,14982.0,17045.0,15921.0
2017-01-06,16772.0,11633.0,14814.0,22675.0,15030.0,17183.0,16654.0
2017-01-09,17097.0,12338.0,15227.0,23052.0,14961.0,16896.0,16914.0
2017-01-10,18628.0,12980.0,15359.0,25326.0,15678.0,15823.0,15435.0
2017-01-11,15820.0,12963.0,15650.0,22615.0,15919.0,15252.0,14709.0
2017-01-12,14277.0,13641.0,16373.0,24162.0,15583.0,11767.0,14664.0
2017-01-13,15347.0,12548.0,16380.0,23089.0,15460.0,12081.0,12040.0
2017-01-16,15506.0,13970.0,16658.0,23505.0,15396.0,12177.0,12102.0
2017-01-17,16219.0,13162.0,15664.0,23013.0,15888.0,11987.0,11000.0
2017-01-18,16639.0,13720.0,16051.0,22947.0,15987.0,11439.0,11021.0
2017-01-19,16470.0,14655.0,16570.0,22311.0,15879.0,11482.0,11551.0
2017-01-20,15882.0,15537.0,16581.0,20392.0,15878.0,11304.0,11381.0
2017-01-23,16327.0,15312.0,15891.0,22036.0,16501.0,9905.0,9777.0
2017-01-24,15646.0,14950.0,16293.0,20581.0,14949.0,9841.0,8476.0
2017-01-25,18018.0,14005.0,16675.0,19627.0,16111.0,12513.0,5607.0
2017-01-26,16559.0,14193.0,15895.0,18967.0,14618.0,13916.0,4253.0
2017-02-03,17074.0,15946.0,15781.0,19628.0,14932.0,13647.0,4023.0
2017-02-06,16913.0,15742.0,14957.0,19231.0,14948.0,13728.0,5754.0
2017-02-07,17643.0,16886.0,15532.0,20040.0,15192.0,13304.0,6559.0
2017-02-08,16805.0,17111.0,16169.0,20236.0,14710.0,13184.0,6826.0
2017-02-09,16878.0,16314.0,15397.0,20620.0,14042.0,14149.0,6848.0
2017-02-10,16370.0,16439.0,15563.0,20518.0,13668.0,13873.0,7309.0
2017-02-13,17483.0,16644.0,16237.0,20729.0,13857.0,11628.0,5792.0
2017-02-14,18216.0,15983.0,16074.0,23676.0,15624.0,10153.0,4923.0
2017-02-15,18703.0,16074.0,15899.0,23073.0,16465.0,10114.0,5210.0
2017-02-16,16428.0,13631.0,13151.0,22745.0,16195.0,10037.0,4884.0
2017-02-17,17532.0,13918.0,12961.0,20331.0,16601.0,11592.0,4809.0
2017-02-20,18296.0,15439.0,13235.0,19488.0,16385.0,11286.0,5275.0
2017-02-21,15970.0,15508.0,12905.0,20019.0,16063.0,10379.0,5943.0
2017-02-22,14416.0,16579.0,12456.0,18947.0,15521.0,10974.0,5184.0
2017-02-23,14602.0,17688.0,12434.0,18352.0,15576.0,12215.0,5122.0
2017-02-24,14893.0,19756.0,12716.0,16163.0,13542.0,12722.0,5163.0
2017-02-27,14209.0,18297.0,12531.0,12205.0,12678.0,12685.0,5267.0
2017-02-28,14665.0,18987.0,12969.0,8861.0,12494.0,12765.0,4845.0
2017-03-01,15576.0,19423.0,13608.0,8906.0,12447.0,11016.0,4821.0
2017-03-02,16537.0,20407.0,12787.0,9246.0,10263.0,11133.0,4780.0
2017-03-03,16913.0,19934.0,12741.0,9780.0,10215.0,8915.0,4230.0
2017-03-07,17277.0,19538.0,13191.0,9007.0,11534.0,11847.0,6383.0
2017-03-08,18431.0,19415.0,13296.0,9041.0,13750.0,13165.0,6832.0
2017-03-09,17222.0,20692.0,13598.0,8347.0,11407.0,13302.0,8201.0
2017-03-10,17533.0,21979.0,12544.0,8798.0,9265.0,13222.0,8726.0
2017-03-13,18803.0,20355.0,13285.0,9089.0,8141.0,13000.0,8159.0
2017-03-14,19487.0,20511.0,13495.0,3643.0,8175.0,12543.0,9044.0
